Threads,Elapsed Time (s),Total Ops,Member Ops (%),Insert Ops (%),Delete Ops (%)
2,0.503516,500000,99.91,0.04,0.05
4,0.3240211,500000,99.9,0.04,0.05
8,0.3521831,500000,99.91,0.05,0.05
16,0.3643858,500000,99.91,0.04,0.05
2,10.25314,500000,94.99,2.97,2.03
4,6.627961,500000,94.98,3.01,2.0
8,7.201188,500000,95.03,2.97,2.0
16,9.138544,500000,95.03,3.02,1.95
2,23.3422,500000,89.96,5.03,5.01
4,16.51167,500000,89.95,5.03,5.02
8,17.12372,500000,89.99,5.04,4.97
16,19.6647,500000,90.0,5.03,4.97
2,60.45639,500000,79.92,10.04,10.04
4,45.76153,500000,79.99,9.96,10.05
8,46.77235,500000,79.99,10.0,10.01
16,52.43617,500000,79.93,10.07,10.0
